LOOKUP_ID,LOOKUP_NAME,PARENT_ID,TYPE_ID,type_name
515811,THE CHIPLUN URBAN CO OP BANK LTD,0,29,BANK NAME
515812,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD,0,29,BANK NAME
515813,GRAMIN BANK OF ARYAVART,0,29,BANK NAME
515816,THE NAV JEEVAN CO OP BANK LTD,0,29,BANK NAME
515817,THE JUNAGADH COMM CO OP BANK LTD,0,29,BANK NAME
515818,THE NAVNIRMAN CO OPERATIVE BANK LTD,0,29,BANK NAME
515820,THE GURDASPUR CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
515821,AGRICULTURAL CASH CREDIT ACCOUNT,0,29,BANK NAME
515822,ANNPURNA MAHILA CO LTD,0,29,BANK NAME
515823,MINI BANK  GRAM SEWA SEHKARI SAMITI LTD.,0,29,BANK NAME
515824,MINI BANK  PADAMPURA GRAM SEWA SEHKARI SAMITI LTD,0,29,BANK NAME
515825,BARA NAGRIK BANK,0,29,BANK NAME
515826,MINI BANK GARAM SAVA SHAKARI,0,29,BANK NAME
